trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,4,Pies,-1,-1,3.0,4.0,3.0,1691795043.2515163,11/08/2023 20:04:03
2,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795053.2620807,11/08/2023 20:04:13
3,4,Pies,-1,-1,3.0,4.0,3.0,1691795063.2816603,11/08/2023 20:04:23
4,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795073.2908447,11/08/2023 20:04:33
5,5,Rest,-1,-1,3.0,4.0,3.0,1691795083.30906,11/08/2023 20:04:43
6,4,Pies,-1,-1,3.0,4.0,3.0,1691795093.318782,11/08/2023 20:04:53
7,5,Rest,-1,-1,3.0,4.0,3.0,1691795103.3203094,11/08/2023 20:05:03
8,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795113.3397348,11/08/2023 20:05:13
9,5,Rest,-1,-1,3.0,4.0,3.0,1691795123.3693733,11/08/2023 20:05:23
10,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795133.3920736,11/08/2023 20:05:33
11,4,Pies,-1,-1,3.0,4.0,3.0,1691795143.4012709,11/08/2023 20:05:43
12,4,Pies,-1,-1,3.0,4.0,3.0,1691795153.4237761,11/08/2023 20:05:53
13,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795163.4338293,11/08/2023 20:06:03
14,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795173.4507766,11/08/2023 20:06:13
15,4,Pies,-1,-1,3.0,4.0,3.0,1691795183.462757,11/08/2023 20:06:23
16,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795193.4838345,11/08/2023 20:06:33
17,4,Pies,-1,-1,3.0,4.0,3.0,1691795203.50678,11/08/2023 20:06:43
18,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795213.5119495,11/08/2023 20:06:53
19,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795223.5338438,11/08/2023 20:07:03
20,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795233.5423708,11/08/2023 20:07:13
21,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795243.5639315,11/08/2023 20:07:23
22,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795253.5757773,11/08/2023 20:07:33
23,5,Rest,-1,-1,3.0,4.0,3.0,1691795263.5949054,11/08/2023 20:07:43
24,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795273.6160433,11/08/2023 20:07:53
25,5,Rest,-1,-1,3.0,4.0,3.0,1691795283.6252904,11/08/2023 20:08:03
26,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795293.6447763,11/08/2023 20:08:13
27,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795303.654252,11/08/2023 20:08:23
28,5,Rest,-1,-1,3.0,4.0,3.0,1691795313.6771512,11/08/2023 20:08:33
29,4,Pies,-1,-1,3.0,4.0,3.0,1691795323.6837778,11/08/2023 20:08:43
30,5,Rest,-1,-1,3.0,4.0,3.0,1691795333.7077796,11/08/2023 20:08:53
31,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795343.7174616,11/08/2023 20:09:03
32,5,Rest,-1,-1,3.0,4.0,3.0,1691795353.7362423,11/08/2023 20:09:13
33,4,Pies,-1,-1,3.0,4.0,3.0,1691795363.7567759,11/08/2023 20:09:23
34,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795373.7677796,11/08/2023 20:09:33
35,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795383.7979214,11/08/2023 20:09:43
36,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795393.8167872,11/08/2023 20:09:53
37,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795403.826811,11/08/2023 20:10:03
38,5,Rest,-1,-1,3.0,4.0,3.0,1691795413.8494027,11/08/2023 20:10:13
39,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795423.868772,11/08/2023 20:10:23
40,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795433.898776,11/08/2023 20:10:33
41,4,Pies,-1,-1,3.0,4.0,3.0,1691795443.9293811,11/08/2023 20:10:43
42,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795453.9367485,11/08/2023 20:10:53
43,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795463.9599073,11/08/2023 20:11:03
44,5,Rest,-1,-1,3.0,4.0,3.0,1691795473.971155,11/08/2023 20:11:13
45,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795484.0137756,11/08/2023 20:11:24
46,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795494.0426757,11/08/2023 20:11:34
47,4,Pies,-1,-1,3.0,4.0,3.0,1691795504.0709417,11/08/2023 20:11:44
48,4,Pies,-1,-1,3.0,4.0,3.0,1691795514.100734,11/08/2023 20:11:54
49,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795524.13269,11/08/2023 20:12:04
50,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795534.1529965,11/08/2023 20:12:14
51,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795544.1929107,11/08/2023 20:12:24
52,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795554.2214372,11/08/2023 20:12:34
53,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795564.2432814,11/08/2023 20:12:44
54,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795574.272302,11/08/2023 20:12:54
55,4,Pies,-1,-1,3.0,4.0,3.0,1691795584.2930417,11/08/2023 20:13:04
56,5,Rest,-1,-1,3.0,4.0,3.0,1691795594.3220136,11/08/2023 20:13:14
57,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795604.3568172,11/08/2023 20:13:24
58,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795614.3840387,11/08/2023 20:13:34
59,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795624.413745,11/08/2023 20:13:44
60,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795634.4337685,11/08/2023 20:13:54
61,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795644.463755,11/08/2023 20:14:04
62,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795654.496045,11/08/2023 20:14:14
63,5,Rest,-1,-1,3.0,4.0,3.0,1691795664.5255911,11/08/2023 20:14:24
64,5,Rest,-1,-1,3.0,4.0,3.0,1691795674.5579193,11/08/2023 20:14:34
65,5,Rest,-1,-1,3.0,4.0,3.0,1691795684.5861962,11/08/2023 20:14:44
66,4,Pies,-1,-1,3.0,4.0,3.0,1691795694.6262536,11/08/2023 20:14:54
67,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691795704.6549857,11/08/2023 20:15:04
68,4,Pies,-1,-1,3.0,4.0,3.0,1691795714.6886919,11/08/2023 20:15:14
69,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795724.7160387,11/08/2023 20:15:24
70,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795734.7469058,11/08/2023 20:15:34
71,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795744.7767706,11/08/2023 20:15:44
72,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795754.8081775,11/08/2023 20:15:54
73,5,Rest,-1,-1,3.0,4.0,3.0,1691795764.8378253,11/08/2023 20:16:04
74,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691795774.887748,11/08/2023 20:16:14
75,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691795784.9174945,11/08/2023 20:16:24
