trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,4,Pies,-1,-1,3.0,4.0,3.0,1692102891.9230468,15/08/2023 09:34:51
2,5,Rest,-1,-1,3.0,4.0,3.0,1692102901.9331021,15/08/2023 09:35:01
3,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692102911.9507787,15/08/2023 09:35:11
4,5,Rest,-1,-1,3.0,4.0,3.0,1692102921.9617302,15/08/2023 09:35:21
5,4,Pies,-1,-1,3.0,4.0,3.0,1692102931.981733,15/08/2023 09:35:31
6,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692102941.993115,15/08/2023 09:35:41
7,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692102951.993081,15/08/2023 09:35:51
8,5,Rest,-1,-1,3.0,4.0,3.0,1692102962.0278797,15/08/2023 09:36:02
9,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692102972.043754,15/08/2023 09:36:12
10,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692102982.0639594,15/08/2023 09:36:22
11,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692102992.072869,15/08/2023 09:36:32
12,4,Pies,-1,-1,3.0,4.0,3.0,1692103002.1020632,15/08/2023 09:36:42
13,4,Pies,-1,-1,3.0,4.0,3.0,1692103012.10716,15/08/2023 09:36:52
14,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692103022.1257195,15/08/2023 09:37:02
15,4,Pies,-1,-1,3.0,4.0,3.0,1692103032.1450734,15/08/2023 09:37:12
16,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692103042.153377,15/08/2023 09:37:22
17,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692103052.1737645,15/08/2023 09:37:32
18,4,Pies,-1,-1,3.0,4.0,3.0,1692103062.1852462,15/08/2023 09:37:42
19,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692103072.204888,15/08/2023 09:37:52
20,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692103082.2169013,15/08/2023 09:38:02
21,4,Pies,-1,-1,3.0,4.0,3.0,1692103092.2355978,15/08/2023 09:38:12
22,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692103102.2474697,15/08/2023 09:38:22
23,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692103112.2832813,15/08/2023 09:38:32
24,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692103122.2954457,15/08/2023 09:38:42
25,4,Pies,-1,-1,3.0,4.0,3.0,1692103132.316467,15/08/2023 09:38:52
26,5,Rest,-1,-1,3.0,4.0,3.0,1692103142.326299,15/08/2023 09:39:02
27,4,Pies,-1,-1,3.0,4.0,3.0,1692103152.3477435,15/08/2023 09:39:12
28,5,Rest,-1,-1,3.0,4.0,3.0,1692103162.3562708,15/08/2023 09:39:22
29,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692103172.377505,15/08/2023 09:39:32
30,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692103182.3939087,15/08/2023 09:39:42
31,5,Rest,-1,-1,3.0,4.0,3.0,1692103192.4074385,15/08/2023 09:39:52
32,4,Pies,-1,-1,3.0,4.0,3.0,1692103202.4289646,15/08/2023 09:40:02
33,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692103212.437806,15/08/2023 09:40:12
34,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692103222.4587243,15/08/2023 09:40:22
35,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692103232.468446,15/08/2023 09:40:32
36,5,Rest,-1,-1,3.0,4.0,3.0,1692103242.4889417,15/08/2023 09:40:42
37,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692103252.4990134,15/08/2023 09:40:52
38,4,Pies,-1,-1,3.0,4.0,3.0,1692103262.5187275,15/08/2023 09:41:02
39,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692103272.5392494,15/08/2023 09:41:12
