trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,4,Pies,-1,-1,3.0,4.0,3.0,1692136670.4925826,15/08/2023 18:57:50
2,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136680.501247,15/08/2023 18:58:00
3,4,Pies,-1,-1,3.0,4.0,3.0,1692136690.522044,15/08/2023 18:58:10
4,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136700.5402224,15/08/2023 18:58:20
5,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692136710.550425,15/08/2023 18:58:30
6,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692136720.5805626,15/08/2023 18:58:40
7,4,Pies,-1,-1,3.0,4.0,3.0,1692136730.5997927,15/08/2023 18:58:50
8,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692136740.6101975,15/08/2023 18:59:00
9,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692136750.6325815,15/08/2023 18:59:10
10,5,Rest,-1,-1,3.0,4.0,3.0,1692136760.6444492,15/08/2023 18:59:20
11,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692136770.6638336,15/08/2023 18:59:30
12,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692136780.684042,15/08/2023 18:59:40
13,5,Rest,-1,-1,3.0,4.0,3.0,1692136790.6941974,15/08/2023 18:59:50
14,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136800.7136986,15/08/2023 19:00:00
15,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692136810.7244623,15/08/2023 19:00:10
16,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136820.7456534,15/08/2023 19:00:20
17,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136830.755885,15/08/2023 19:00:30
18,4,Pies,-1,-1,3.0,4.0,3.0,1692136840.7967288,15/08/2023 19:00:40
19,4,Pies,-1,-1,3.0,4.0,3.0,1692136850.8052783,15/08/2023 19:00:50
20,5,Rest,-1,-1,3.0,4.0,3.0,1692136860.8269215,15/08/2023 19:01:00
21,4,Pies,-1,-1,3.0,4.0,3.0,1692136870.8376381,15/08/2023 19:01:10
22,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692136880.857858,15/08/2023 19:01:20
23,5,Rest,-1,-1,3.0,4.0,3.0,1692136890.8686285,15/08/2023 19:01:30
24,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136900.8887408,15/08/2023 19:01:40
25,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136910.900528,15/08/2023 19:01:50
26,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692136920.9213057,15/08/2023 19:02:00
27,4,Pies,-1,-1,3.0,4.0,3.0,1692136930.9408722,15/08/2023 19:02:10
28,5,Rest,-1,-1,3.0,4.0,3.0,1692136940.9510376,15/08/2023 19:02:20
29,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692136950.9706657,15/08/2023 19:02:30
30,5,Rest,-1,-1,3.0,4.0,3.0,1692136960.9814785,15/08/2023 19:02:40
31,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692136971.0029016,15/08/2023 19:02:51
32,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136981.0125117,15/08/2023 19:03:01
33,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692136991.0321636,15/08/2023 19:03:11
34,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692137001.0522897,15/08/2023 19:03:21
35,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692137011.0638115,15/08/2023 19:03:31
36,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692137021.0858927,15/08/2023 19:03:41
37,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692137031.0963314,15/08/2023 19:03:51
38,4,Pies,-1,-1,3.0,4.0,3.0,1692137041.116863,15/08/2023 19:04:01
39,4,Pies,-1,-1,3.0,4.0,3.0,1692137051.1263433,15/08/2023 19:04:11
40,5,Rest,-1,-1,3.0,4.0,3.0,1692137061.1565027,15/08/2023 19:04:21
41,4,Pies,-1,-1,3.0,4.0,3.0,1692137071.1976783,15/08/2023 19:04:31
42,5,Rest,-1,-1,3.0,4.0,3.0,1692137081.2272356,15/08/2023 19:04:41
43,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692137091.2381995,15/08/2023 19:04:51
44,5,Rest,-1,-1,3.0,4.0,3.0,1692137101.2578204,15/08/2023 19:05:01
45,4,Pies,-1,-1,3.0,4.0,3.0,1692137111.2676194,15/08/2023 19:05:11
46,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692137121.2892363,15/08/2023 19:05:21
47,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692137131.3111496,15/08/2023 19:05:31
48,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692137141.3414803,15/08/2023 19:05:41
49,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692137151.3713233,15/08/2023 19:05:51
50,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692137161.4025242,15/08/2023 19:06:01
51,5,Rest,-1,-1,3.0,4.0,3.0,1692137171.4365568,15/08/2023 19:06:11
52,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692137181.4634988,15/08/2023 19:06:21
53,5,Rest,-1,-1,3.0,4.0,3.0,1692137191.484185,15/08/2023 19:06:31
54,4,Pies,-1,-1,3.0,4.0,3.0,1692137201.5243402,15/08/2023 19:06:41
55,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692137211.5463543,15/08/2023 19:06:51
56,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692137221.574408,15/08/2023 19:07:01
57,5,Rest,-1,-1,3.0,4.0,3.0,1692137231.5948946,15/08/2023 19:07:11
58,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692137241.6271021,15/08/2023 19:07:21
59,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692137251.6673064,15/08/2023 19:07:31
60,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692137261.707528,15/08/2023 19:07:41
61,4,Pies,-1,-1,3.0,4.0,3.0,1692137271.7462807,15/08/2023 19:07:51
62,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692137281.7679493,15/08/2023 19:08:01
63,5,Rest,-1,-1,3.0,4.0,3.0,1692137291.8006043,15/08/2023 19:08:11
64,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692137301.8288765,15/08/2023 19:08:21
65,5,Rest,-1,-1,3.0,4.0,3.0,1692137311.8587418,15/08/2023 19:08:31
66,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692137321.887729,15/08/2023 19:08:41
67,4,Pies,-1,-1,3.0,4.0,3.0,1692137331.9075496,15/08/2023 19:08:51
