trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692374296.9587758,18/08/2023 12:58:16
2,4,Pies,-1,-1,3.0,4.0,3.0,1692374306.9969373,18/08/2023 12:58:26
3,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692374317.0198524,18/08/2023 12:58:37
4,5,Rest,-1,-1,3.0,4.0,3.0,1692374327.0482347,18/08/2023 12:58:47
5,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692374337.0841935,18/08/2023 12:58:57
6,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692374347.1531632,18/08/2023 12:59:07
7,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692374357.191711,18/08/2023 12:59:17
8,5,Rest,-1,-1,3.0,4.0,3.0,1692374367.223365,18/08/2023 12:59:27
9,5,Rest,-1,-1,3.0,4.0,3.0,1692374377.2577696,18/08/2023 12:59:37
10,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692374387.289954,18/08/2023 12:59:47
11,4,Pies,-1,-1,3.0,4.0,3.0,1692374397.3300526,18/08/2023 12:59:57
12,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692374407.3620307,18/08/2023 13:00:07
13,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692374417.382401,18/08/2023 13:00:17
14,5,Rest,-1,-1,3.0,4.0,3.0,1692374427.4117644,18/08/2023 13:00:27
15,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692374437.444109,18/08/2023 13:00:37
16,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692374447.471418,18/08/2023 13:00:47
17,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692374457.5226967,18/08/2023 13:00:57
18,4,Pies,-1,-1,3.0,4.0,3.0,1692374467.5544508,18/08/2023 13:01:07
19,4,Pies,-1,-1,3.0,4.0,3.0,1692374477.6034353,18/08/2023 13:01:17
