trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,5,Rest,-1,-1,3.0,4.0,3.0,1692373370.8944426,18/08/2023 12:42:50
2,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692373380.9301102,18/08/2023 12:43:00
3,4,Pies,-1,-1,3.0,4.0,3.0,1692373390.9612134,18/08/2023 12:43:10
4,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692373400.9887779,18/08/2023 12:43:20
5,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692373411.0121129,18/08/2023 12:43:31
6,5,Rest,-1,-1,3.0,4.0,3.0,1692373421.0308142,18/08/2023 12:43:41
7,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692373431.0447218,18/08/2023 12:43:51
8,5,Rest,-1,-1,3.0,4.0,3.0,1692373441.0747466,18/08/2023 12:44:01
9,4,Pies,-1,-1,3.0,4.0,3.0,1692373451.1118214,18/08/2023 12:44:11
10,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692373461.142726,18/08/2023 12:44:21
11,4,Pies,-1,-1,3.0,4.0,3.0,1692373471.2051883,18/08/2023 12:44:31
12,5,Rest,-1,-1,3.0,4.0,3.0,1692373481.2477229,18/08/2023 12:44:41
13,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692373491.3013396,18/08/2023 12:44:51
14,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692373501.3309696,18/08/2023 12:45:01
15,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692373511.363658,18/08/2023 12:45:11
16,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692373521.4136856,18/08/2023 12:45:21
17,4,Pies,-1,-1,3.0,4.0,3.0,1692373531.4292579,18/08/2023 12:45:31
18,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692373541.452675,18/08/2023 12:45:41
19,4,Pies,-1,-1,3.0,4.0,3.0,1692373551.4868534,18/08/2023 12:45:51
20,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692373561.495717,18/08/2023 12:46:01
21,5,Rest,-1,-1,3.0,4.0,3.0,1692373571.5480797,18/08/2023 12:46:11
