trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692788651.738761,23/08/2023 08:04:11
2,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692788661.773917,23/08/2023 08:04:21
3,4,Pies,-1,-1,3.0,4.0,3.0,1692788671.7728686,23/08/2023 08:04:31
4,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692788681.804868,23/08/2023 08:04:41
5,5,Rest,-1,-1,3.0,4.0,3.0,1692788691.819334,23/08/2023 08:04:51
6,5,Rest,-1,-1,3.0,4.0,3.0,1692788701.8376377,23/08/2023 08:05:01
7,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692788711.8838685,23/08/2023 08:05:11
8,4,Pies,-1,-1,3.0,4.0,3.0,1692788721.900099,23/08/2023 08:05:21
9,5,Rest,-1,-1,3.0,4.0,3.0,1692788731.9138694,23/08/2023 08:05:31
10,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692788741.9290543,23/08/2023 08:05:41
11,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692788751.951864,23/08/2023 08:05:51
12,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692788761.9600933,23/08/2023 08:06:01
13,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692788771.9748466,23/08/2023 08:06:11
14,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692788781.9799354,23/08/2023 08:06:21
15,5,Rest,-1,-1,3.0,4.0,3.0,1692788791.985841,23/08/2023 08:06:31
16,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692788801.9907203,23/08/2023 08:06:41
17,4,Pies,-1,-1,3.0,4.0,3.0,1692788812.0126169,23/08/2023 08:06:52
18,4,Pies,-1,-1,3.0,4.0,3.0,1692788822.021809,23/08/2023 08:07:02
19,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692788832.0564654,23/08/2023 08:07:12
