Clasificador	Accuracy	Precision	Recall	F1-Score
LDA	25.0	32.14	25.0	22.5
SVM	57.99999999999999	64.17	58.0	59.17
LDA	75.0	81.25	75.0	75.71
SVM	57.99999999999999	58.33	58.0	58.33
LDA	8.0	4.17	8.0	5.56
SVM	25.0	25.0	25.0	23.89
LDA	33.0	45.83	33.0	34.72
SVM	50.0	54.17	50.0	50.95
LDA	57.99999999999999	58.33	58.0	58.33
SVM	75.0	72.92	75.0	73.1
LDA	25.0	25.0	25.0	25.0
SVM	0.0	0.0	0.0	0.0
LDA	33.0	33.33	33.0	32.62
SVM	33.0	25.0	33.0	28.57
Avg-std(LDA)	36.71 +- 22.53	40.01 +- 24.79	36.71 +- 22.53	36.35 +- 23.51
Avg-std(SVM)	42.71 +- 25.15	42.8 +- 26.46	42.71 +- 25.15	42.0 +- 25.43
