trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,5,Rest,-1,-1,3.0,4.0,3.0,1692212536.7755444,16/08/2023 16:02:16
2,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212546.8178332,16/08/2023 16:02:26
3,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212556.849197,16/08/2023 16:02:36
4,5,Rest,-1,-1,3.0,4.0,3.0,1692212566.893472,16/08/2023 16:02:46
5,4,Pies,-1,-1,3.0,4.0,3.0,1692212576.9198668,16/08/2023 16:02:56
6,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212586.9633355,16/08/2023 16:03:06
7,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212597.010439,16/08/2023 16:03:17
8,5,Rest,-1,-1,3.0,4.0,3.0,1692212607.0494742,16/08/2023 16:03:27
9,4,Pies,-1,-1,3.0,4.0,3.0,1692212617.0894752,16/08/2023 16:03:37
10,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212627.1407633,16/08/2023 16:03:47
11,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212637.167205,16/08/2023 16:03:57
12,4,Pies,-1,-1,3.0,4.0,3.0,1692212647.2101953,16/08/2023 16:04:07
13,4,Pies,-1,-1,3.0,4.0,3.0,1692212657.2314744,16/08/2023 16:04:17
14,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212667.262479,16/08/2023 16:04:27
15,4,Pies,-1,-1,3.0,4.0,3.0,1692212677.2999215,16/08/2023 16:04:37
16,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212687.3280702,16/08/2023 16:04:47
17,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212697.3544922,16/08/2023 16:04:57
18,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212707.4050565,16/08/2023 16:05:07
19,5,Rest,-1,-1,3.0,4.0,3.0,1692212717.4214537,16/08/2023 16:05:17
20,5,Rest,-1,-1,3.0,4.0,3.0,1692212727.464058,16/08/2023 16:05:27
21,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212737.486932,16/08/2023 16:05:37
22,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212747.50209,16/08/2023 16:05:47
23,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212757.5497754,16/08/2023 16:05:57
24,4,Pies,-1,-1,3.0,4.0,3.0,1692212767.581901,16/08/2023 16:06:07
25,5,Rest,-1,-1,3.0,4.0,3.0,1692212777.6209302,16/08/2023 16:06:17
26,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212787.6694772,16/08/2023 16:06:27
27,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212797.7114713,16/08/2023 16:06:37
28,4,Pies,-1,-1,3.0,4.0,3.0,1692212807.7444825,16/08/2023 16:06:47
29,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212817.7870307,16/08/2023 16:06:57
30,5,Rest,-1,-1,3.0,4.0,3.0,1692212827.8504963,16/08/2023 16:07:07
31,5,Rest,-1,-1,3.0,4.0,3.0,1692212837.8834593,16/08/2023 16:07:17
32,5,Rest,-1,-1,3.0,4.0,3.0,1692212847.909395,16/08/2023 16:07:27
33,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212857.9498885,16/08/2023 16:07:37
34,5,Rest,-1,-1,3.0,4.0,3.0,1692212868.0062287,16/08/2023 16:07:48
35,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212878.0336607,16/08/2023 16:07:58
36,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212888.0728757,16/08/2023 16:08:08
37,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212898.1294622,16/08/2023 16:08:18
38,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212908.2143757,16/08/2023 16:08:28
39,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692212918.2633052,16/08/2023 16:08:38
40,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212928.3199778,16/08/2023 16:08:48
41,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212938.3472311,16/08/2023 16:08:58
42,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212948.400813,16/08/2023 16:09:08
43,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692212958.43845,16/08/2023 16:09:18
44,4,Pies,-1,-1,3.0,4.0,3.0,1692212968.4851975,16/08/2023 16:09:28
45,4,Pies,-1,-1,3.0,4.0,3.0,1692212978.5394964,16/08/2023 16:09:38
46,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692212988.5888338,16/08/2023 16:09:48
47,5,Rest,-1,-1,3.0,4.0,3.0,1692212998.6336563,16/08/2023 16:09:58
48,4,Pies,-1,-1,3.0,4.0,3.0,1692213008.6819525,16/08/2023 16:10:08
49,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692213018.7063055,16/08/2023 16:10:18
50,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692213028.768587,16/08/2023 16:10:28
51,5,Rest,-1,-1,3.0,4.0,3.0,1692213038.795462,16/08/2023 16:10:38
52,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692213048.862169,16/08/2023 16:10:48
53,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692213058.9081104,16/08/2023 16:10:58
54,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692213068.9814537,16/08/2023 16:11:08
55,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692213079.0479395,16/08/2023 16:11:19
56,4,Pies,-1,-1,3.0,4.0,3.0,1692213089.0912783,16/08/2023 16:11:29
57,4,Pies,-1,-1,3.0,4.0,3.0,1692213099.1409452,16/08/2023 16:11:39
58,5,Rest,-1,-1,3.0,4.0,3.0,1692213109.1931825,16/08/2023 16:11:49
59,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692213119.226793,16/08/2023 16:11:59
60,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692213129.263485,16/08/2023 16:12:09
61,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692213139.3114653,16/08/2023 16:12:19
62,4,Pies,-1,-1,3.0,4.0,3.0,1692213149.3697019,16/08/2023 16:12:29
63,4,Pies,-1,-1,3.0,4.0,3.0,1692213159.408462,16/08/2023 16:12:39
64,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692213169.4783907,16/08/2023 16:12:49
65,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692213179.519082,16/08/2023 16:12:59
66,5,Rest,-1,-1,3.0,4.0,3.0,1692213189.571878,16/08/2023 16:13:09
67,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692213199.6161625,16/08/2023 16:13:19
68,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692213209.6594617,16/08/2023 16:13:29
69,5,Rest,-1,-1,3.0,4.0,3.0,1692213219.7280967,16/08/2023 16:13:39
70,4,Pies,-1,-1,3.0,4.0,3.0,1692213229.7737207,16/08/2023 16:13:49
71,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692213239.8114626,16/08/2023 16:13:59
72,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692213249.872515,16/08/2023 16:14:09
73,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692213259.9272938,16/08/2023 16:14:19
74,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692213269.9551904,16/08/2023 16:14:29
75,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692213279.9988418,16/08/2023 16:14:39
