,Accuracy,Precision,Recall,F1-Score,AUC
LDA,50.0,0.5,0.5,0.5,
SVM,50.0,0.5,0.5,0.48571428571428577,0.49999999999999994
CRNN,56.00000000000001,0.5833333333333333,0.575,0.55,0.6500000000000001
