trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246041.4552553,20/09/2023 18:40:41
2,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246051.4646893,20/09/2023 18:40:51
3,4,Pies,-1,-1,3.0,4.0,3.0,1695246061.4749594,20/09/2023 18:41:01
4,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246071.4817507,20/09/2023 18:41:11
5,5,Rest,-1,-1,3.0,4.0,3.0,1695246081.4926634,20/09/2023 18:41:21
6,5,Rest,-1,-1,3.0,4.0,3.0,1695246091.512283,20/09/2023 18:41:31
7,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246101.521215,20/09/2023 18:41:41
8,4,Pies,-1,-1,3.0,4.0,3.0,1695246111.5221765,20/09/2023 18:41:51
9,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246121.5375504,20/09/2023 18:42:01
10,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246131.5425754,20/09/2023 18:42:11
11,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246141.553211,20/09/2023 18:42:21
12,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246151.5529382,20/09/2023 18:42:31
13,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246161.554034,20/09/2023 18:42:41
14,4,Pies,-1,-1,3.0,4.0,3.0,1695246171.5532084,20/09/2023 18:42:51
15,5,Rest,-1,-1,3.0,4.0,3.0,1695246181.5542097,20/09/2023 18:43:01
16,4,Pies,-1,-1,3.0,4.0,3.0,1695246191.5732338,20/09/2023 18:43:11
17,4,Pies,-1,-1,3.0,4.0,3.0,1695246201.5849636,20/09/2023 18:43:21
18,4,Pies,-1,-1,3.0,4.0,3.0,1695246211.5853457,20/09/2023 18:43:31
19,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246221.5855355,20/09/2023 18:43:41
20,5,Rest,-1,-1,3.0,4.0,3.0,1695246231.6249216,20/09/2023 18:43:51
21,4,Pies,-1,-1,3.0,4.0,3.0,1695246241.635205,20/09/2023 18:44:01
22,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246251.6562283,20/09/2023 18:44:11
23,5,Rest,-1,-1,3.0,4.0,3.0,1695246261.6662097,20/09/2023 18:44:21
24,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246271.686345,20/09/2023 18:44:31
25,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246281.6970837,20/09/2023 18:44:41
26,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246291.7161176,20/09/2023 18:44:51
27,5,Rest,-1,-1,3.0,4.0,3.0,1695246301.7352116,20/09/2023 18:45:01
28,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246311.7462344,20/09/2023 18:45:11
29,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246321.768227,20/09/2023 18:45:21
30,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246331.7772079,20/09/2023 18:45:31
31,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246341.796688,20/09/2023 18:45:41
32,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246351.8062093,20/09/2023 18:45:51
33,5,Rest,-1,-1,3.0,4.0,3.0,1695246361.8282773,20/09/2023 18:46:01
34,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246371.8384185,20/09/2023 18:46:11
35,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246381.8597007,20/09/2023 18:46:21
36,5,Rest,-1,-1,3.0,4.0,3.0,1695246391.8782403,20/09/2023 18:46:31
37,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246401.8872094,20/09/2023 18:46:41
38,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246411.909415,20/09/2023 18:46:51
39,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246421.9177134,20/09/2023 18:47:01
40,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246431.9392102,20/09/2023 18:47:11
41,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246441.9497921,20/09/2023 18:47:21
42,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246451.9714415,20/09/2023 18:47:31
43,5,Rest,-1,-1,3.0,4.0,3.0,1695246461.9909518,20/09/2023 18:47:41
44,5,Rest,-1,-1,3.0,4.0,3.0,1695246472.021321,20/09/2023 18:47:52
45,4,Pies,-1,-1,3.0,4.0,3.0,1695246482.031601,20/09/2023 18:48:02
46,4,Pies,-1,-1,3.0,4.0,3.0,1695246492.0496643,20/09/2023 18:48:12
47,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246502.062224,20/09/2023 18:48:22
48,4,Pies,-1,-1,3.0,4.0,3.0,1695246512.0752041,20/09/2023 18:48:32
49,5,Rest,-1,-1,3.0,4.0,3.0,1695246522.0915372,20/09/2023 18:48:42
50,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246532.111281,20/09/2023 18:48:52
51,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246542.1326811,20/09/2023 18:49:02
52,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246552.1624272,20/09/2023 18:49:12
53,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246562.1711662,20/09/2023 18:49:22
54,5,Rest,-1,-1,3.0,4.0,3.0,1695246572.1923327,20/09/2023 18:49:32
55,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246582.201215,20/09/2023 18:49:42
56,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246592.2216291,20/09/2023 18:49:52
57,4,Pies,-1,-1,3.0,4.0,3.0,1695246602.2422032,20/09/2023 18:50:02
58,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246612.272125,20/09/2023 18:50:12
59,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246622.3050122,20/09/2023 18:50:22
60,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246632.3344142,20/09/2023 18:50:32
61,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246642.345203,20/09/2023 18:50:42
62,4,Pies,-1,-1,3.0,4.0,3.0,1695246652.3632033,20/09/2023 18:50:52
63,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246662.383279,20/09/2023 18:51:02
64,4,Pies,-1,-1,3.0,4.0,3.0,1695246672.4159622,20/09/2023 18:51:12
65,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246682.446202,20/09/2023 18:51:22
66,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246692.4744453,20/09/2023 18:51:32
67,4,Pies,-1,-1,3.0,4.0,3.0,1695246702.4972,20/09/2023 18:51:42
68,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246712.521979,20/09/2023 18:51:52
69,5,Rest,-1,-1,3.0,4.0,3.0,1695246722.5542037,20/09/2023 18:52:02
70,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695246732.5872407,20/09/2023 18:52:12
71,4,Pies,-1,-1,3.0,4.0,3.0,1695246742.6163769,20/09/2023 18:52:22
72,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695246752.6346369,20/09/2023 18:52:32
73,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695246762.6673462,20/09/2023 18:52:42
74,5,Rest,-1,-1,3.0,4.0,3.0,1695246772.6961875,20/09/2023 18:52:52
75,5,Rest,-1,-1,3.0,4.0,3.0,1695246782.7266357,20/09/2023 18:53:02
