trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,1,[0.9741075 0.0258925],3.0,4.0,3.0,1701292339.099569,29/11/2023 18:12:19
2,2,Mano Derecha,1,[0.7609576 0.2390424],3.0,4.0,3.0,1701292349.1534767,29/11/2023 18:12:29
3,1,Mano Izquierda,2,[0.35967007 0.64032993],3.0,4.0,3.0,1701292359.2025938,29/11/2023 18:12:39
4,2,Mano Derecha,2,[0.00137053 0.99862947],3.0,4.0,3.0,1701292369.3112707,29/11/2023 18:12:49
5,2,Mano Derecha,2,[0.2155837 0.7844163],3.0,4.0,3.0,1701292379.3799615,29/11/2023 18:12:59
6,1,Mano Izquierda,1,[0.98827862 0.01172138],3.0,4.0,3.0,1701292389.4149268,29/11/2023 18:13:09
7,1,Mano Izquierda,2,[0.08723008 0.91276992],3.0,4.0,3.0,1701292399.4898338,29/11/2023 18:13:19
8,1,Mano Izquierda,2,[0.43420163 0.56579837],3.0,4.0,3.0,1701292409.5336924,29/11/2023 18:13:29
9,2,Mano Derecha,2,[0.02771243 0.97228757],3.0,4.0,3.0,1701292419.5675523,29/11/2023 18:13:39
10,2,Mano Derecha,2,[0.00129471 0.99870529],3.0,4.0,3.0,1701292429.612712,29/11/2023 18:13:49
