trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312241.3376162,17/08/2023 19:44:01
2,4,Pies,-1,-1,3.0,4.0,3.0,1692312251.3485587,17/08/2023 19:44:11
3,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312261.379951,17/08/2023 19:44:21
4,5,Rest,-1,-1,3.0,4.0,3.0,1692312271.4044788,17/08/2023 19:44:31
5,5,Rest,-1,-1,3.0,4.0,3.0,1692312281.424904,17/08/2023 19:44:41
6,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312291.4467754,17/08/2023 19:44:51
7,5,Rest,-1,-1,3.0,4.0,3.0,1692312301.4520729,17/08/2023 19:45:01
8,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312311.485142,17/08/2023 19:45:11
9,4,Pies,-1,-1,3.0,4.0,3.0,1692312321.5362892,17/08/2023 19:45:21
10,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312331.5556812,17/08/2023 19:45:31
11,5,Rest,-1,-1,3.0,4.0,3.0,1692312341.5690978,17/08/2023 19:45:41
12,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312351.597751,17/08/2023 19:45:51
13,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312361.620952,17/08/2023 19:46:01
14,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312371.6477296,17/08/2023 19:46:11
15,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312381.6627188,17/08/2023 19:46:21
16,4,Pies,-1,-1,3.0,4.0,3.0,1692312391.6827571,17/08/2023 19:46:31
17,5,Rest,-1,-1,3.0,4.0,3.0,1692312401.7129924,17/08/2023 19:46:41
18,5,Rest,-1,-1,3.0,4.0,3.0,1692312411.76447,17/08/2023 19:46:51
19,5,Rest,-1,-1,3.0,4.0,3.0,1692312421.7913485,17/08/2023 19:47:01
20,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312431.8186684,17/08/2023 19:47:11
21,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312441.8337266,17/08/2023 19:47:21
22,4,Pies,-1,-1,3.0,4.0,3.0,1692312451.8536773,17/08/2023 19:47:31
23,5,Rest,-1,-1,3.0,4.0,3.0,1692312461.8792486,17/08/2023 19:47:41
24,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312471.905859,17/08/2023 19:47:51
25,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312481.9606285,17/08/2023 19:48:01
26,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312491.9939442,17/08/2023 19:48:11
27,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312502.015292,17/08/2023 19:48:22
28,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312512.0399487,17/08/2023 19:48:32
29,4,Pies,-1,-1,3.0,4.0,3.0,1692312522.047518,17/08/2023 19:48:42
30,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312532.0759447,17/08/2023 19:48:52
31,5,Rest,-1,-1,3.0,4.0,3.0,1692312542.1066282,17/08/2023 19:49:02
32,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312552.145952,17/08/2023 19:49:12
33,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312562.1713474,17/08/2023 19:49:22
34,4,Pies,-1,-1,3.0,4.0,3.0,1692312572.2064338,17/08/2023 19:49:32
35,5,Rest,-1,-1,3.0,4.0,3.0,1692312582.2618082,17/08/2023 19:49:42
36,5,Rest,-1,-1,3.0,4.0,3.0,1692312592.2918282,17/08/2023 19:49:52
37,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312602.3196461,17/08/2023 19:50:02
38,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312612.3515058,17/08/2023 19:50:12
39,4,Pies,-1,-1,3.0,4.0,3.0,1692312622.375352,17/08/2023 19:50:22
40,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312632.4271283,17/08/2023 19:50:32
41,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312642.4540453,17/08/2023 19:50:42
42,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312652.4980235,17/08/2023 19:50:52
43,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312662.5452306,17/08/2023 19:51:02
44,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312672.5681808,17/08/2023 19:51:12
45,5,Rest,-1,-1,3.0,4.0,3.0,1692312682.592088,17/08/2023 19:51:22
46,4,Pies,-1,-1,3.0,4.0,3.0,1692312692.6404176,17/08/2023 19:51:32
47,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312702.6899378,17/08/2023 19:51:42
48,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312712.713844,17/08/2023 19:51:52
49,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312722.7597222,17/08/2023 19:52:02
50,4,Pies,-1,-1,3.0,4.0,3.0,1692312732.7809467,17/08/2023 19:52:12
51,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312742.8243673,17/08/2023 19:52:22
52,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312752.8554966,17/08/2023 19:52:32
53,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312762.8979392,17/08/2023 19:52:42
54,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312772.9374483,17/08/2023 19:52:52
55,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692312782.9764938,17/08/2023 19:53:02
56,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312792.9974422,17/08/2023 19:53:12
57,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312803.0298388,17/08/2023 19:53:23
58,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312813.0729458,17/08/2023 19:53:33
59,5,Rest,-1,-1,3.0,4.0,3.0,1692312823.1062133,17/08/2023 19:53:43
60,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312833.1533568,17/08/2023 19:53:53
61,5,Rest,-1,-1,3.0,4.0,3.0,1692312843.1944785,17/08/2023 19:54:03
62,4,Pies,-1,-1,3.0,4.0,3.0,1692312853.2299602,17/08/2023 19:54:13
63,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312863.2509422,17/08/2023 19:54:23
64,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312873.2811272,17/08/2023 19:54:33
65,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312883.322944,17/08/2023 19:54:43
66,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312893.3649216,17/08/2023 19:54:53
67,4,Pies,-1,-1,3.0,4.0,3.0,1692312903.3946455,17/08/2023 19:55:03
68,4,Pies,-1,-1,3.0,4.0,3.0,1692312913.4439378,17/08/2023 19:55:13
69,4,Pies,-1,-1,3.0,4.0,3.0,1692312923.468944,17/08/2023 19:55:23
70,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692312933.5052807,17/08/2023 19:55:33
71,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312943.5405314,17/08/2023 19:55:43
72,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692312953.5799525,17/08/2023 19:55:53
73,5,Rest,-1,-1,3.0,4.0,3.0,1692312963.60865,17/08/2023 19:56:03
74,4,Pies,-1,-1,3.0,4.0,3.0,1692312973.6529412,17/08/2023 19:56:13
75,4,Pies,-1,-1,3.0,4.0,3.0,1692312983.678947,17/08/2023 19:56:23
