trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313086.9002242,17/08/2023 19:58:06
2,4,Pies,-1,-1,3.0,4.0,3.0,1692313096.9382048,17/08/2023 19:58:16
3,5,Rest,-1,-1,3.0,4.0,3.0,1692313106.9825008,17/08/2023 19:58:26
4,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692313117.0104282,17/08/2023 19:58:37
5,5,Rest,-1,-1,3.0,4.0,3.0,1692313127.0509071,17/08/2023 19:58:47
6,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692313137.085152,17/08/2023 19:58:57
7,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692313147.1147945,17/08/2023 19:59:07
8,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692313157.158721,17/08/2023 19:59:17
9,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692313167.1992276,17/08/2023 19:59:27
10,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313177.2397795,17/08/2023 19:59:37
11,5,Rest,-1,-1,3.0,4.0,3.0,1692313187.249936,17/08/2023 19:59:47
12,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692313197.2942493,17/08/2023 19:59:57
13,5,Rest,-1,-1,3.0,4.0,3.0,1692313207.3405218,17/08/2023 20:00:07
14,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692313217.3749409,17/08/2023 20:00:17
15,4,Pies,-1,-1,3.0,4.0,3.0,1692313227.407495,17/08/2023 20:00:27
16,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692313237.4434807,17/08/2023 20:00:37
17,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692313247.464724,17/08/2023 20:00:47
18,4,Pies,-1,-1,3.0,4.0,3.0,1692313257.5113795,17/08/2023 20:00:57
19,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692313267.554625,17/08/2023 20:01:07
20,5,Rest,-1,-1,3.0,4.0,3.0,1692313277.5763385,17/08/2023 20:01:17
21,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313287.6248024,17/08/2023 20:01:27
22,4,Pies,-1,-1,3.0,4.0,3.0,1692313297.6675415,17/08/2023 20:01:37
23,5,Rest,-1,-1,3.0,4.0,3.0,1692313307.6929958,17/08/2023 20:01:47
24,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313317.7394202,17/08/2023 20:01:57
25,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313327.7746243,17/08/2023 20:02:07
26,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313337.8226268,17/08/2023 20:02:17
27,4,Pies,-1,-1,3.0,4.0,3.0,1692313347.871625,17/08/2023 20:02:27
28,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1692313357.9182963,17/08/2023 20:02:37
29,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313367.9415643,17/08/2023 20:02:47
30,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692313377.985616,17/08/2023 20:02:57
31,4,Pies,-1,-1,3.0,4.0,3.0,1692313388.0142555,17/08/2023 20:03:08
32,5,Rest,-1,-1,3.0,4.0,3.0,1692313398.061408,17/08/2023 20:03:18
33,5,Rest,-1,-1,3.0,4.0,3.0,1692313408.1066399,17/08/2023 20:03:28
34,5,Rest,-1,-1,3.0,4.0,3.0,1692313418.1572838,17/08/2023 20:03:38
35,4,Pies,-1,-1,3.0,4.0,3.0,1692313428.1976116,17/08/2023 20:03:48
36,4,Pies,-1,-1,3.0,4.0,3.0,1692313438.234626,17/08/2023 20:03:58
