trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695497617.7052495,23/09/2023 16:33:37
2,4,Pies,-1,-1,3.0,4.0,3.0,1695497627.7135947,23/09/2023 16:33:47
3,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695497637.7242699,23/09/2023 16:33:57
4,5,Rest,-1,-1,3.0,4.0,3.0,1695497647.7321167,23/09/2023 16:34:07
5,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695497657.741237,23/09/2023 16:34:17
6,5,Rest,-1,-1,3.0,4.0,3.0,1695497667.7393262,23/09/2023 16:34:27
7,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695497677.7411628,23/09/2023 16:34:37
8,5,Rest,-1,-1,3.0,4.0,3.0,1695497687.741624,23/09/2023 16:34:47
9,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695497697.7416348,23/09/2023 16:34:57
10,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695497707.7415876,23/09/2023 16:35:07
11,4,Pies,-1,-1,3.0,4.0,3.0,1695497717.742774,23/09/2023 16:35:17
12,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695497727.7611396,23/09/2023 16:35:27
13,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695497737.773343,23/09/2023 16:35:37
14,5,Rest,-1,-1,3.0,4.0,3.0,1695497747.7731447,23/09/2023 16:35:47
15,5,Rest,-1,-1,3.0,4.0,3.0,1695497757.7928374,23/09/2023 16:35:57
16,5,Rest,-1,-1,3.0,4.0,3.0,1695497767.806337,23/09/2023 16:36:07
17,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695497777.8241372,23/09/2023 16:36:17
18,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695497787.8441389,23/09/2023 16:36:27
19,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1695497797.8540747,23/09/2023 16:36:37
20,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1695497807.8723602,23/09/2023 16:36:47
21,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1695497817.883632,23/09/2023 16:36:57
