,Accuracy,Precision,Recall,F1-Score,AUC
LDA,44.0,0.45396825396825397,0.4444444444444444,0.4467754467754467,0.6358024691358024
SVM,44.0,0.47222222222222215,0.4444444444444445,0.40740740740740744,0.625
CRNN,28.999999999999996,0.3,0.2833333333333334,0.2888888888888889,0.3768518518518518
