trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965275.5012858,14/11/2023 09:34:35
2,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965285.6554737,14/11/2023 09:34:45
3,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965295.904656,14/11/2023 09:34:55
4,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965306.1968217,14/11/2023 09:35:06
5,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965316.4594173,14/11/2023 09:35:16
6,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965326.5408494,14/11/2023 09:35:26
7,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965336.6737509,14/11/2023 09:35:36
8,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965346.7937546,14/11/2023 09:35:46
9,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965356.945904,14/11/2023 09:35:56
10,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965367.040127,14/11/2023 09:36:07
11,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965377.1197412,14/11/2023 09:36:17
12,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965387.2450597,14/11/2023 09:36:27
13,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965397.420498,14/11/2023 09:36:37
14,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965407.5000138,14/11/2023 09:36:47
15,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965417.6103022,14/11/2023 09:36:57
16,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965427.7425437,14/11/2023 09:37:07
17,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965437.8287857,14/11/2023 09:37:17
18,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965447.9156578,14/11/2023 09:37:27
19,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965458.0102491,14/11/2023 09:37:38
20,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965468.1805863,14/11/2023 09:37:48
21,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965478.264447,14/11/2023 09:37:58
22,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965488.4574862,14/11/2023 09:38:08
23,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965498.603239,14/11/2023 09:38:18
24,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965508.7518215,14/11/2023 09:38:28
25,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965518.9126573,14/11/2023 09:38:38
26,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965529.0071213,14/11/2023 09:38:49
27,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965539.1278884,14/11/2023 09:38:59
28,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965549.2792907,14/11/2023 09:39:09
29,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965559.3785226,14/11/2023 09:39:19
30,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965569.4708307,14/11/2023 09:39:29
31,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965579.5466185,14/11/2023 09:39:39
32,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965589.6750767,14/11/2023 09:39:49
33,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965599.7728643,14/11/2023 09:39:59
34,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965609.8904333,14/11/2023 09:40:09
35,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965619.938727,14/11/2023 09:40:19
36,1,Mano Izquierda,5,[0. 0. 1.],3.0,4.0,3.0,1699965630.0671327,14/11/2023 09:40:30
37,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965640.2078707,14/11/2023 09:40:40
38,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965650.3020704,14/11/2023 09:40:50
39,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965660.4366229,14/11/2023 09:41:00
40,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965670.5253818,14/11/2023 09:41:10
41,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965680.6893682,14/11/2023 09:41:20
42,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965690.8048987,14/11/2023 09:41:30
43,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965700.8794358,14/11/2023 09:41:40
44,3,Rest,5,[0. 0. 1.],3.0,4.0,3.0,1699965710.9792585,14/11/2023 09:41:50
45,2,Mano Derecha,5,[0. 0. 1.],3.0,4.0,3.0,1699965721.0841985,14/11/2023 09:42:01
