,Accuracy,Precision,Recall,F1-Score,AUC
LDA,25.0,0.24285714285714285,0.25,0.24475524475524474,
SVM,50.0,0.5,0.5,0.4375,0.6666666666666667
CRNN,56.00000000000001,0.55,0.55,0.55,0.6000000000000001
