trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,4,Pies,-1,-1,3.0,4.0,3.0,1691525200.251555,08/08/2023 17:06:40
2,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691525210.3078187,08/08/2023 17:06:50
3,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691525220.3160794,08/08/2023 17:07:00
4,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691525230.3382437,08/08/2023 17:07:10
5,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691525240.3475986,08/08/2023 17:07:20
6,5,Rest,-1,-1,3.0,4.0,3.0,1691525250.368071,08/08/2023 17:07:30
7,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691525260.3775587,08/08/2023 17:07:40
8,4,Pies,-1,-1,3.0,4.0,3.0,1691525270.3999228,08/08/2023 17:07:50
9,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691525280.4086242,08/08/2023 17:08:00
10,4,Pies,-1,-1,3.0,4.0,3.0,1691525290.4102259,08/08/2023 17:08:10
11,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691525300.4290738,08/08/2023 17:08:20
12,5,Rest,-1,-1,3.0,4.0,3.0,1691525310.440041,08/08/2023 17:08:30
13,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691525320.439391,08/08/2023 17:08:40
14,4,Pies,-1,-1,3.0,4.0,3.0,1691525330.4399827,08/08/2023 17:08:50
15,5,Rest,-1,-1,3.0,4.0,3.0,1691525340.440046,08/08/2023 17:09:00
16,4,Pies,-1,-1,3.0,4.0,3.0,1691525350.44143,08/08/2023 17:09:10
17,5,Rest,-1,-1,3.0,4.0,3.0,1691525360.4577749,08/08/2023 17:09:20
18,5,Rest,-1,-1,3.0,4.0,3.0,1691525370.4782872,08/08/2023 17:09:30
19,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691525380.4906118,08/08/2023 17:09:40
20,4,Pies,-1,-1,3.0,4.0,3.0,1691525390.508266,08/08/2023 17:09:50
21,4,Pies,-1,-1,3.0,4.0,3.0,1691525400.521566,08/08/2023 17:10:00
22,5,Rest,-1,-1,3.0,4.0,3.0,1691525410.543073,08/08/2023 17:10:10
23,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691525420.5517516,08/08/2023 17:10:20
