trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,4,Pies,-1,-1,3.0,4.0,3.0,1691526616.6057308,08/08/2023 17:30:16
2,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526626.61441,08/08/2023 17:30:26
3,4,Pies,-1,-1,3.0,4.0,3.0,1691526636.626009,08/08/2023 17:30:36
4,5,Rest,-1,-1,3.0,4.0,3.0,1691526646.6323183,08/08/2023 17:30:46
5,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691526656.6422029,08/08/2023 17:30:56
6,5,Rest,-1,-1,3.0,4.0,3.0,1691526666.640341,08/08/2023 17:31:06
7,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526676.642299,08/08/2023 17:31:16
8,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526686.6422453,08/08/2023 17:31:26
9,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526696.6432273,08/08/2023 17:31:36
10,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526706.6452322,08/08/2023 17:31:46
11,4,Pies,-1,-1,3.0,4.0,3.0,1691526716.664774,08/08/2023 17:31:56
12,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526726.673307,08/08/2023 17:32:06
13,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526736.675025,08/08/2023 17:32:16
14,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691526746.67496,08/08/2023 17:32:26
15,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526756.6756387,08/08/2023 17:32:36
16,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526766.6770465,08/08/2023 17:32:46
17,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691526776.6970885,08/08/2023 17:32:56
18,5,Rest,-1,-1,3.0,4.0,3.0,1691526786.7136054,08/08/2023 17:33:06
19,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526796.7255847,08/08/2023 17:33:16
20,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526806.744539,08/08/2023 17:33:26
21,5,Rest,-1,-1,3.0,4.0,3.0,1691526816.7547562,08/08/2023 17:33:36
22,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526826.7777417,08/08/2023 17:33:46
23,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691526836.7862055,08/08/2023 17:33:56
24,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691526846.803928,08/08/2023 17:34:06
25,4,Pies,-1,-1,3.0,4.0,3.0,1691526856.8184736,08/08/2023 17:34:16
26,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526866.834105,08/08/2023 17:34:26
27,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691526876.8571103,08/08/2023 17:34:36
28,5,Rest,-1,-1,3.0,4.0,3.0,1691526886.8692403,08/08/2023 17:34:46
29,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526896.8846595,08/08/2023 17:34:56
30,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526906.8972013,08/08/2023 17:35:06
31,4,Pies,-1,-1,3.0,4.0,3.0,1691526916.9200559,08/08/2023 17:35:16
32,4,Pies,-1,-1,3.0,4.0,3.0,1691526926.9296997,08/08/2023 17:35:26
33,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691526936.9497821,08/08/2023 17:35:36
34,5,Rest,-1,-1,3.0,4.0,3.0,1691526946.971843,08/08/2023 17:35:46
35,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691526956.9917953,08/08/2023 17:35:56
36,5,Rest,-1,-1,3.0,4.0,3.0,1691526967.0084617,08/08/2023 17:36:07
37,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691526977.0307689,08/08/2023 17:36:17
38,4,Pies,-1,-1,3.0,4.0,3.0,1691526987.0398715,08/08/2023 17:36:27
39,4,Pies,-1,-1,3.0,4.0,3.0,1691526997.0607216,08/08/2023 17:36:37
40,4,Pies,-1,-1,3.0,4.0,3.0,1691527007.0717576,08/08/2023 17:36:47
41,4,Pies,-1,-1,3.0,4.0,3.0,1691527017.088518,08/08/2023 17:36:57
42,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691527027.1109674,08/08/2023 17:37:07
43,4,Pies,-1,-1,3.0,4.0,3.0,1691527037.1201234,08/08/2023 17:37:17
44,5,Rest,-1,-1,3.0,4.0,3.0,1691527047.1423314,08/08/2023 17:37:27
45,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691527057.1508842,08/08/2023 17:37:37
46,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527067.1711926,08/08/2023 17:37:47
47,5,Rest,-1,-1,3.0,4.0,3.0,1691527077.1818588,08/08/2023 17:37:57
48,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691527087.2013254,08/08/2023 17:38:07
49,5,Rest,-1,-1,3.0,4.0,3.0,1691527097.2163246,08/08/2023 17:38:17
50,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527107.2322245,08/08/2023 17:38:27
51,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527117.2456434,08/08/2023 17:38:37
52,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691527127.2637174,08/08/2023 17:38:47
53,4,Pies,-1,-1,3.0,4.0,3.0,1691527137.279627,08/08/2023 17:38:57
54,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691527147.2922146,08/08/2023 17:39:07
55,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691527157.3108096,08/08/2023 17:39:17
56,5,Rest,-1,-1,3.0,4.0,3.0,1691527167.3237,08/08/2023 17:39:27
57,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691527177.3441958,08/08/2023 17:39:37
58,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527187.3578525,08/08/2023 17:39:47
59,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691527197.3742516,08/08/2023 17:39:57
60,5,Rest,-1,-1,3.0,4.0,3.0,1691527207.3909786,08/08/2023 17:40:07
61,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691527217.4042811,08/08/2023 17:40:17
62,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691527227.4267173,08/08/2023 17:40:27
63,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527237.4537315,08/08/2023 17:40:37
64,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691527247.4666133,08/08/2023 17:40:47
65,4,Pies,-1,-1,3.0,4.0,3.0,1691527257.485222,08/08/2023 17:40:57
66,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691527267.506736,08/08/2023 17:41:07
67,4,Pies,-1,-1,3.0,4.0,3.0,1691527277.5367846,08/08/2023 17:41:17
68,5,Rest,-1,-1,3.0,4.0,3.0,1691527287.5667171,08/08/2023 17:41:27
69,5,Rest,-1,-1,3.0,4.0,3.0,1691527297.5992799,08/08/2023 17:41:37
70,4,Pies,-1,-1,3.0,4.0,3.0,1691527307.6265013,08/08/2023 17:41:47
71,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527317.64772,08/08/2023 17:41:57
72,5,Rest,-1,-1,3.0,4.0,3.0,1691527327.66984,08/08/2023 17:42:07
73,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527337.6886427,08/08/2023 17:42:17
74,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691527347.706211,08/08/2023 17:42:27
75,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691527357.736737,08/08/2023 17:42:37
