trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679339.6526656,10/08/2023 11:55:39
2,5,Rest,-1,-1,3.0,4.0,3.0,1691679349.6571972,10/08/2023 11:55:49
3,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679359.6712337,10/08/2023 11:55:59
4,4,Pies,-1,-1,3.0,4.0,3.0,1691679369.6907156,10/08/2023 11:56:09
5,5,Rest,-1,-1,3.0,4.0,3.0,1691679379.7001736,10/08/2023 11:56:19
6,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679389.7002165,10/08/2023 11:56:29
7,5,Rest,-1,-1,3.0,4.0,3.0,1691679399.7012732,10/08/2023 11:56:39
8,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679409.701966,10/08/2023 11:56:49
9,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679419.7230427,10/08/2023 11:56:59
10,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679429.7345996,10/08/2023 11:57:09
11,5,Rest,-1,-1,3.0,4.0,3.0,1691679439.7506418,10/08/2023 11:57:19
12,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679449.7671528,10/08/2023 11:57:29
13,4,Pies,-1,-1,3.0,4.0,3.0,1691679459.7815564,10/08/2023 11:57:39
14,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679469.80296,10/08/2023 11:57:49
15,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679479.8130891,10/08/2023 11:57:59
16,4,Pies,-1,-1,3.0,4.0,3.0,1691679489.832971,10/08/2023 11:58:09
17,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679499.853156,10/08/2023 11:58:19
18,5,Rest,-1,-1,3.0,4.0,3.0,1691679509.8627467,10/08/2023 11:58:29
19,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679519.8836365,10/08/2023 11:58:39
20,5,Rest,-1,-1,3.0,4.0,3.0,1691679529.8942325,10/08/2023 11:58:49
21,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679539.910059,10/08/2023 11:58:59
22,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679549.923713,10/08/2023 11:59:09
23,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679559.9430237,10/08/2023 11:59:19
24,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679569.9558833,10/08/2023 11:59:29
25,4,Pies,-1,-1,3.0,4.0,3.0,1691679579.9759104,10/08/2023 11:59:39
26,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679589.9956405,10/08/2023 11:59:49
27,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679600.0082123,10/08/2023 12:00:00
28,5,Rest,-1,-1,3.0,4.0,3.0,1691679610.0263016,10/08/2023 12:00:10
29,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679620.037737,10/08/2023 12:00:20
30,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679630.0570283,10/08/2023 12:00:30
31,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679640.067648,10/08/2023 12:00:40
32,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679650.086728,10/08/2023 12:00:50
33,4,Pies,-1,-1,3.0,4.0,3.0,1691679660.0998387,10/08/2023 12:01:00
34,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679670.1183033,10/08/2023 12:01:10
35,4,Pies,-1,-1,3.0,4.0,3.0,1691679680.130763,10/08/2023 12:01:20
36,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679690.1482375,10/08/2023 12:01:30
37,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679700.1628804,10/08/2023 12:01:40
38,4,Pies,-1,-1,3.0,4.0,3.0,1691679710.1796665,10/08/2023 12:01:50
39,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679720.1997383,10/08/2023 12:02:00
40,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679730.2184894,10/08/2023 12:02:10
41,4,Pies,-1,-1,3.0,4.0,3.0,1691679740.229272,10/08/2023 12:02:20
42,5,Rest,-1,-1,3.0,4.0,3.0,1691679750.2424066,10/08/2023 12:02:30
43,5,Rest,-1,-1,3.0,4.0,3.0,1691679760.2605627,10/08/2023 12:02:40
44,5,Rest,-1,-1,3.0,4.0,3.0,1691679770.2808022,10/08/2023 12:02:50
45,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679780.313151,10/08/2023 12:03:00
46,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679790.3415437,10/08/2023 12:03:10
47,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679800.359724,10/08/2023 12:03:20
48,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679810.3744516,10/08/2023 12:03:30
49,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679820.3995585,10/08/2023 12:03:40
50,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679830.421359,10/08/2023 12:03:50
51,4,Pies,-1,-1,3.0,4.0,3.0,1691679840.4526541,10/08/2023 12:04:00
52,5,Rest,-1,-1,3.0,4.0,3.0,1691679850.4829624,10/08/2023 12:04:10
53,5,Rest,-1,-1,3.0,4.0,3.0,1691679860.4979372,10/08/2023 12:04:20
54,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679870.514628,10/08/2023 12:04:30
55,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691679880.5276816,10/08/2023 12:04:40
56,5,Rest,-1,-1,3.0,4.0,3.0,1691679890.541958,10/08/2023 12:04:50
57,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679900.5652263,10/08/2023 12:05:00
58,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679910.5947156,10/08/2023 12:05:10
59,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679920.6221836,10/08/2023 12:05:20
60,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679930.6452644,10/08/2023 12:05:30
61,4,Pies,-1,-1,3.0,4.0,3.0,1691679940.675424,10/08/2023 12:05:40
62,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679950.705984,10/08/2023 12:05:50
63,4,Pies,-1,-1,3.0,4.0,3.0,1691679960.7379687,10/08/2023 12:06:00
64,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679970.7635138,10/08/2023 12:06:10
65,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691679980.782751,10/08/2023 12:06:20
66,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691679990.8157804,10/08/2023 12:06:30
67,4,Pies,-1,-1,3.0,4.0,3.0,1691680000.8427753,10/08/2023 12:06:40
68,4,Pies,-1,-1,3.0,4.0,3.0,1691680010.8578286,10/08/2023 12:06:50
69,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691680020.877891,10/08/2023 12:07:00
70,4,Pies,-1,-1,3.0,4.0,3.0,1691680030.9075146,10/08/2023 12:07:10
71,5,Rest,-1,-1,3.0,4.0,3.0,1691680040.9374895,10/08/2023 12:07:20
72,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691680050.9706502,10/08/2023 12:07:30
73,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691680061.0082247,10/08/2023 12:07:41
74,5,Rest,-1,-1,3.0,4.0,3.0,1691680071.037629,10/08/2023 12:07:51
75,4,Pies,-1,-1,3.0,4.0,3.0,1691680081.069813,10/08/2023 12:08:01
