trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609409.252655,09/08/2023 16:30:09
2,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609419.2616365,09/08/2023 16:30:19
3,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609429.2697484,09/08/2023 16:30:29
4,5,Rest,-1,-1,3.0,4.0,3.0,1691609439.299688,09/08/2023 16:30:39
5,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609449.319868,09/08/2023 16:30:49
6,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609459.3288856,09/08/2023 16:30:59
7,4,Pies,-1,-1,3.0,4.0,3.0,1691609469.3294003,09/08/2023 16:31:09
8,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609479.3288662,09/08/2023 16:31:19
9,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609489.3304458,09/08/2023 16:31:29
10,5,Rest,-1,-1,3.0,4.0,3.0,1691609499.3306804,09/08/2023 16:31:39
11,5,Rest,-1,-1,3.0,4.0,3.0,1691609509.3298662,09/08/2023 16:31:49
12,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691609519.3307533,09/08/2023 16:31:59
13,5,Rest,-1,-1,3.0,4.0,3.0,1691609529.3309507,09/08/2023 16:32:09
14,4,Pies,-1,-1,3.0,4.0,3.0,1691609539.3313594,09/08/2023 16:32:19
15,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609549.3508866,09/08/2023 16:32:29
16,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691609559.361864,09/08/2023 16:32:39
17,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609569.3620958,09/08/2023 16:32:49
18,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691609579.3631895,09/08/2023 16:32:59
19,4,Pies,-1,-1,3.0,4.0,3.0,1691609589.3632133,09/08/2023 16:33:09
20,4,Pies,-1,-1,3.0,4.0,3.0,1691609599.402398,09/08/2023 16:33:19
21,5,Rest,-1,-1,3.0,4.0,3.0,1691609609.41239,09/08/2023 16:33:29
22,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609619.4342716,09/08/2023 16:33:39
23,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609629.443027,09/08/2023 16:33:49
24,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691609639.463861,09/08/2023 16:33:59
25,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691609649.4740548,09/08/2023 16:34:09
26,4,Pies,-1,-1,3.0,4.0,3.0,1691609659.513391,09/08/2023 16:34:19
27,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609669.5233722,09/08/2023 16:34:29
28,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609679.5438075,09/08/2023 16:34:39
29,4,Pies,-1,-1,3.0,4.0,3.0,1691609689.5543518,09/08/2023 16:34:49
30,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609699.5750067,09/08/2023 16:34:59
31,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691609709.5856755,09/08/2023 16:35:09
32,4,Pies,-1,-1,3.0,4.0,3.0,1691609719.6069949,09/08/2023 16:35:19
33,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609729.616019,09/08/2023 16:35:29
34,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691609739.6368792,09/08/2023 16:35:39
35,4,Pies,-1,-1,3.0,4.0,3.0,1691609749.656051,09/08/2023 16:35:49
36,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691609759.6662965,09/08/2023 16:35:59
37,5,Rest,-1,-1,3.0,4.0,3.0,1691609769.696103,09/08/2023 16:36:09
38,4,Pies,-1,-1,3.0,4.0,3.0,1691609779.7160883,09/08/2023 16:36:19
