trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691608519.182865,09/08/2023 16:15:19
2,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691608529.1952183,09/08/2023 16:15:29
3,5,Rest,-1,-1,3.0,4.0,3.0,1691608539.210224,09/08/2023 16:15:39
4,5,Rest,-1,-1,3.0,4.0,3.0,1691608549.221903,09/08/2023 16:15:49
5,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691608559.2340877,09/08/2023 16:15:59
6,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691608569.2399442,09/08/2023 16:16:09
7,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691608579.250587,09/08/2023 16:16:19
8,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691608589.2518134,09/08/2023 16:16:29
9,5,Rest,-1,-1,3.0,4.0,3.0,1691608599.2517266,09/08/2023 16:16:39
10,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691608609.2514887,09/08/2023 16:16:49
11,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691608619.251693,09/08/2023 16:16:59
12,5,Rest,-1,-1,3.0,4.0,3.0,1691608629.252773,09/08/2023 16:17:09
13,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691608639.2526915,09/08/2023 16:17:19
14,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691608649.2526643,09/08/2023 16:17:29
15,5,Rest,-1,-1,3.0,4.0,3.0,1691608659.2532744,09/08/2023 16:17:39
16,4,Pies,-1,-1,3.0,4.0,3.0,1691608669.2531817,09/08/2023 16:17:49
17,5,Rest,-1,-1,3.0,4.0,3.0,1691608679.2524803,09/08/2023 16:17:59
18,4,Pies,-1,-1,3.0,4.0,3.0,1691608689.2536483,09/08/2023 16:18:09
19,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691608699.2538748,09/08/2023 16:18:19
20,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691608709.2934663,09/08/2023 16:18:29
21,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691608719.3024726,09/08/2023 16:18:39
22,4,Pies,-1,-1,3.0,4.0,3.0,1691608729.3234482,09/08/2023 16:18:49
23,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691608739.3339636,09/08/2023 16:18:59
24,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691608749.354574,09/08/2023 16:19:09
25,4,Pies,-1,-1,3.0,4.0,3.0,1691608759.3647149,09/08/2023 16:19:19
26,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691608769.3835316,09/08/2023 16:19:29
27,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691608779.4044158,09/08/2023 16:19:39
28,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691608789.4135313,09/08/2023 16:19:49
29,4,Pies,-1,-1,3.0,4.0,3.0,1691608799.4364707,09/08/2023 16:19:59
30,5,Rest,-1,-1,3.0,4.0,3.0,1691608809.4444726,09/08/2023 16:20:09
