,Accuracy,Precision,Recall,F1-Score,AUC
LDA,23.0,0.22714285714285715,0.2333333333333333,0.22777222777222775,0.5525
SVM,23.0,0.2857142857142857,0.2333333333333333,0.24230769230769228,0.6069444444444445
CRNN,9.0,0.13999999999999999,0.1,0.11111111111111112,0.34362573099415206
