,Accuracy,Precision,Recall,F1-Score,AUC
LDA,17.0,0.1294642857142857,0.16666666666666666,0.14560439560439561,0.4467592592592593
SVM,42.0,0.4128205128205128,0.4166666666666667,0.37905369484316853,0.6296296296296297
CRNN,22.0,0.15476190476190477,0.225,0.18181818181818182,0.42692307692307685
