,Accuracy,Precision,Recall,F1-Score,AUC
LDA,30.0,0.29333333333333333,0.3,0.29307359307359304,0.5863888888888888
SVM,23.0,0.35333333333333333,0.2333333333333333,0.2554761904761905,0.6500000000000001
CRNN,22.0,0.3696969696969697,0.22000000000000003,0.22000000000000003,0.5868421052631578
