trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,1,[0.88818878 0.11181122],3.0,4.0,3.0,1701289796.1619325,29/11/2023 17:29:56
2,2,Mano Derecha,2,[0.00338791 0.99661209],3.0,4.0,3.0,1701289806.2325826,29/11/2023 17:30:06
3,1,Mano Izquierda,1,[0.98436215 0.01563785],3.0,4.0,3.0,1701289816.2684765,29/11/2023 17:30:16
4,2,Mano Derecha,2,[5.99520433e-15 1.00000000e+00],3.0,4.0,3.0,1701289826.3140302,29/11/2023 17:30:26
5,2,Mano Derecha,2,[0.00564562 0.99435438],3.0,4.0,3.0,1701289836.346867,29/11/2023 17:30:36
6,1,Mano Izquierda,2,[0.44927144 0.55072856],3.0,4.0,3.0,1701289846.376781,29/11/2023 17:30:46
7,1,Mano Izquierda,1,[0.75661946 0.24338054],3.0,4.0,3.0,1701289856.475013,29/11/2023 17:30:56
8,2,Mano Derecha,2,[2.18897415e-06 9.99997811e-01],3.0,4.0,3.0,1701289866.5236208,29/11/2023 17:31:06
9,1,Mano Izquierda,2,[0.0470689 0.9529311],3.0,4.0,3.0,1701289876.5690424,29/11/2023 17:31:16
10,2,Mano Derecha,2,[6.29185232e-04 9.99370815e-01],3.0,4.0,3.0,1701289886.599736,29/11/2023 17:31:26
