trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692215179.4486506,16/08/2023 16:46:19
2,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692215189.4729676,16/08/2023 16:46:29
3,4,Pies,-1,-1,3.0,4.0,3.0,1692215199.5159867,16/08/2023 16:46:39
4,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692215209.565067,16/08/2023 16:46:49
5,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1692215219.5919237,16/08/2023 16:46:59
6,4,Pies,-1,-1,3.0,4.0,3.0,1692215229.6271942,16/08/2023 16:47:09
7,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1692215239.6589644,16/08/2023 16:47:19
8,5,Rest,-1,-1,3.0,4.0,3.0,1692215249.6816556,16/08/2023 16:47:29
