,Accuracy,Precision,Recall,F1-Score,AUC
LDA,67.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,
SVM,42.0,0.41428571428571426,0.41666666666666663,0.41258741258741255,0.4722222222222222
CRNN,44.0,0.41666666666666663,0.425,0.4155844155844156,0.55
