,Accuracy,Precision,Recall,F1-Score,AUC
LDA,27.0,0.19214285714285712,0.26666666666666666,0.2222527472527472,0.49361111111111117
SVM,33.0,0.3672222222222222,0.3333333333333333,0.32766233766233765,0.6069444444444445
CRNN,13.0,0.15357142857142855,0.13,0.12427572427572428,0.4904093567251463
