,Accuracy,Precision,Recall,F1-Score,AUC
LDA,42.0,0.41428571428571426,0.41666666666666663,0.41258741258741255,
SVM,57.99999999999999,0.5857142857142856,0.5833333333333333,0.5804195804195804,0.638888888888889
CRNN,67.0,0.675,0.675,0.6666666666666665,0.65
