,Accuracy,Precision,Recall,F1-Score,AUC
LDA,30.0,0.30333333333333334,0.3,0.27888888888888885,0.5594444444444444
SVM,40.0,0.320952380952381,0.4,0.35277389277389276,0.6861111111111111
CRNN,9.0,0.1181818181818182,0.09,0.08380952380952382,0.2880701754385965
